Категория,Название,Цена,Описание,Готовность в течение,Биоматериалы
Комплексное,Будущей маме: подготовка к беременности,6590,"Комплексное обследование организма женщины, планирующей беременность, включающее: клинический анализ крови + Лейкоцитарная формула + СОЭ; Общий анализ мочи; Группа крови + Резус-фактор (Rh); Глюкоза; Общий белок; Железо; Госпитальный комплекс: ВИЧ 1-2 АГ/АТ (скрининг) (ИФА); АТ к Treponema pallidum (скрининг) (ИФА); HbsAg (скрининг) (ИФА); Anti-HCV (скрининг) (ИФА); TORCH-инфекции: базовый; Herpes simplex virus I IgG; Herpes simplex virus II IgG; Cytomegalovirus IgG; Rubella virus IgG; Toxoplasma gondii IgG.",3,"Сыворотка, Кровь, Моча"
Комплексное,Будущему папе,5390,"Комплексное обследование организма мужчины, включающее: клинический анализ крови + Лейкоцитарная формула + СОЭ; Общий анализ мочи; Глюкоза; Группа крови + Резус-фактор (Rh); Госпитальный комплекс: ВИЧ 1-2 АГ / АТ (скрининг) (ИФА); АТ к Treponema pallidum (скрининг) (ИФА); HbsAg (скрининг) (ИФА); Anti-HCV (скрининг) (ИФА)",1,"Сыворотка, Кровь, Моча"
Комплексное,Воспаление: скрининг,1590,"Выявление таких маркеров воспаления, как С-реактивный белок; Рематоидный фактор; Мочевая кислота; АСЛ-О (Антистрептолизин-О) в предлагаемом комплексе, позволит диагностировать и дифференцировать воспалительный процесс, правильно определить направления назначаемой терапии.",1,Сыворотка
Комплексное,Гастропанель,7890,"Комплексный анализ крови, включающий специфические белки пищеварительного тракта (гастрин-17, пепсиноген I и II) и IgG-антитела к H.pylori, который используется для неинвазивной оценки состояния слизистой оболочки желудка и скрининга атрофического гастрита.",13,Сыворотка
Комплексное,Герпетическая инфекция: скрининг,4390,"Инфекция, вызванная вирусами герпеса - пожизненное инфекционное заболевание человека, характеризующееся скрытым течением с периодическими обострениями при снижении защитных сил организма. Проявляется инфекция в большинстве случаев поражениями кожи и слизистых оболочек различной локализации. Исследование включает в себя: ПЦР Herpes simplex virus I; Human herpes virus VI; Epstein Barr virus; Cytomegalovirus; Herpes simplex virus I IgG; Herpes simplex virus II IgG; Human herpes virus VI IgG; Cytomegalovirus IgG; Epstein Barr virus (АТ IgG к капсидному АГ).",3,Сыворотка
Комплексное,Госпитализация в стационары терапевтического профиля,3590,"Комплексное исследование, включающее в себя ряд анализов, результаты которых необходимы при госпитализации в стационар терапевтического профиля. В комплекс входят:  клинический анализ крови + Лейкоцитарная формула + СОЭ; Общий анализ мочи +АЛТ (аланинаминотрансфераза); АСТ (аспартатаминотрансфераза); ГГТ (гамма-глутамилтрансфераза); Щелочная фосфатаза (ЩФ); Билирубин общий; Креатинин; Мочевина; Общий белок; Глюкоза; Холестерин общий+ Госпитальный комплекс - (ВИЧ 1-2 АГ / АТ (скрининг) (ИФА); АТ к Treponema pallidum (скрининг) (ИФА); HbsAg (скрининг) (ИФА); Anti-HCV (скрининг) (ИФА)).",3,Сыворотка
Комплексное,Госпитальный комплекс (ИФА),1390,"Комплексное обследование, необходимое для госпитализации в стационар (исследования проводятся методом ИФА): 
- ВИЧ (антитела и антигены) 
- Антитела к бледной трепонеме (Treponema pallidum), суммарные 
- Поверхностный антиген вируса гепатита В (австралийский антиген, HbsAg) 
- Антитела к вирусу гепатита С, суммарные (Anti-HCV)",1,Сыворотка
Комплексное,Госпитальный комплекс (ИХЛА),2290,"Комплексное обследование, необходимое для госпитализации в стационар (исследования проводятся методом ИХЛА):
- ВИЧ (антитела и антигены) 
- Антитела к бледной трепонеме (Treponema pallidum), суммарные 
- Поверхностный антиген вируса гепатита В (австралийский антиген, HbsAg) 
- Антитела к вирусу гепатита С, суммарные (Anti-HCV)",2,Сыворотка
Комплексное,Диагностика анемий,2990,"Анемией принято считать патологическое состояние, при котором снижается количество эритроцитов и/или гемоглобина в крови. Предлагаемый комплекс позволяет диагностировать заболевание, определить степень его тяжести, контролировать эффективность терапии. В комплекс входят: Железо; Латентная железосвязывающая способность (ЛЖСС); Трансферрин; Ферритин; В-12 (Цианокобаламин); Фолиевая кислота.",1,Сыворотка
Комплексное,Диагностика остеопороза: базовый скрининг,7990,"Остеопороз – заболевание, в результате развития которого снижается плотность и нарушается структура костной ткани. С помощью включенных в комплексное исследование тестов, отражающих состояние костной ткани, врач сможет представить проблему пациента, выработать алгоритм лечения. В комплексное исследование включены: Остеокальцин; Щелочная фосфатаза (ЩФ); Фосфор; Кальций ионизированный; Витамин D (25 гидроксикальциферол); Деоксипиридинолин (ДПИД); B-Cross laps (С-концевые телопептиды коллагена I типа - диагностический маркер процесса остеопороза).",9,"Сыворотка, Моча"
Комплексное,Диагностика остеопороза: расширенный скрининг,11990,"Остеопороз – заболевание, в результате развития которого снижается плотность и нарушается структура костной ткани. С помощью включенных в комплексное исследование тестов, отражающих состояние костной ткани, врач сможет представить проблему пациента, выработать алгоритм лечения. В комплексное исследование включены: Остеокальцин; Кальцитонин; Щелочная фосфатаза (ЩФ); Фосфор; Кальций ионизированный; Витамин D (25 гидроксикальциферол); Деоксипиридинолин (ДПИД); B-Cross laps (С-концевые телопептиды коллагена I типа - диагностический маркер процесса остеопороза); Паратгормон (ПТГ); P1NP (N-терминальный пропептид проколлагена 1 типа).",9,"Сыворотка, Моча"
Комплексное,Ежегодное профилактическое обследование,4790,"Комплексное ежегодное профилактическое обследование поможет в раннем выявлении патологий: щитовидной железы, органов и систем, инфицированности гепатитами, простейшими и гельминтами. Комплекс включает в себя: АЛТ (аланинаминотрансфераза); АСТ (аспартатаминотрансфераза); Билирубин общий; Мочевина; Креатинин; Глюкоза; Железо; Латентная железосвязывающая способность (ЛЖСС); Холестерин; Госпитальный комплекс:скрининг.ВИЧ 1-2 АГ / АТ (скрининг) (ИФА); АТ к Treponema pallidum (скрининг) (ИФА); HbsAg (скрининг) (ИФА); Anti-HCV (скрининг); клинический анализ крови + Лейкоцитарная формула + СОЭ; Общий анализ мочи; Маркеры щитовидной железы: (Т4 (тироксин) свободный; Т3 (трийодтиронин) свободный; ТТГ (Тиреотропный гормон) ; АТ к тиреоидной пероксидазе (АТ к ТПО); Анализ кала на простейшие и яйца гельминтов (микроскопия).",5,Сыворотка
Комплексное,Ежегодное профилактическое обследование для ребенка,3490,"Комплекс включает в себя исследования планового профилактического обследования ребенка, которые помогут выявить наиболее частые проблемы. В комплекс входит: клинический анализ крови + Лейкоцитарная формула + СОЭ; Общий анализ мочи; АЛТ (аланинаминотрансфераза); АСТ (аспартатаминотрансфераза); Билирубин общий; Глюкоза; Железо; Мочевина; Креатинин; IgE (иммуноглобулин Е); Анализ кала на простейшие и яйца гельминтов (микроскопия); Соскоб на энтеробиоз.",1,Сыворотка
Комплексное,Животные дома: аллергологический скрининг,5190,"Комплексный скрининг аллергенов животного происхождения поможет выявить источник опасности, убрать или, по возможности, ослабить его воздействие. В исследование входит: IgE Кошка - эпителий (e1); IgE Лошадь - перхоть (eЗ); IgE Морская свинка - эпителий (e6); IgE Собака - перхоть (e5); IgE Хомяк - эпителий (e84); IgE Попугай волнистый - перья (е78); IgE Попугай - перья (e213).",7,Сыворотка
Комплексное,Животные дома: расширенный скрининг,6190,"Комплексный скрининг аллергенов животного происхождения поможет выявить источник опасности, убрать или, по возможности, ослабить его воздействие. В комплекс входит: клинический анализ крови + Лейкоцитарная формула + СОЭ; IgE: Кошка - эпителий (e1); IgE Лошадь - перхоть (eЗ); IgE Морская свинка - эпителий (e6); IgE Собака - перхоть (e5); IgE Хомяк - эпителий (e84); IgE Попугай волнистый - перья (е78); IgE Попугай - перья (e213); Toxoplasma gondii IgG (авидность); Анализ кала на простейшие и яйца гельминтов (микроскопия).",7,Сыворотка
Комплексное,Здоровая печень: биохимический скрининг,890,Исследование позволяет выявить основные функциональные нарушения печени. В него входит: АЛТ (аланинаминотрансфераза); АСТ (аспартатаминотрансфераза); ГГТ (гамма-глутамилтрансфераза); Щелочная фосфатаза (ЩФ); Билирубин общий; Билирубин прямой.,1,Сыворотка
Комплексное,Здоровье женщины: гормональный скрининг,4490,"Программа скрининга поможет специалисту определить, на каком уровне регуляции произошёл сбой, и вовремя скорректировать гормональный фон, пока проблема не стала системной. Состав гормонального скрининга: ЛГ (лютеинезирующий гормон); ФСГ (фолликулостимулирующий гормон); Пролактин; Эстрадиол; Дигидротестостерон; Кортизол.",7,Сыворотка
Комплексное,Здоровье почек: биохимический скрининг,1490,"Биохимический анализ крови, при котором определяются уровни веществ, играющих ключевую роль в осуществлении нормальной функции почек - мочевина, креатинин, неорганический фосфор, альбумин, глюкоза, кальций.",1,Сыворотка
Комплексное,Здоровье почек: диагностика мочекаменной болезни,3190,"Биохимическое исследование крови и мочи (наиболее точно отражающие урологические проблемы) включает определение содержания креатинина, кальция, магния, неорганического фосфора, мочевой кислоты и т.д.",4,Суточная моча
Комплексное,Коагулограмма базовая,1790,"Комплекс включает необходимые параметры свертывания, позволяющие оценить состояние систем свертывания и противосвертывания крови: АЧТВ; Протромбиновое время + МНО; Тромбиновое время; Фибриноген; Антитромбин III.",1,Плазма цитрат
Комплексное,"Комплекс аллергенов растений, вызывающих поллиноз",11990,"Исследование включает в себя определение в крови специфического иммуноглобулина класса E (IgE) к тополю, липе, ольхе, березе, полыни, дубу, клёну, амброзии, еже, пшенице, ржи, тимофеевке.",4,Сыворотка
Комплексное,Комплексный анализ крови на ненасыщенные жирные кислоты семейства Омега-3 и Омега-6,8290,"Определение концентрации ненасыщенных жирных кислот семейства омега-3 и омега-6, используемое для оценки их баланса в организме, а также диагностики и контроля лечения ишемической болезни сердца, инсульта и некоторых онкологических заболеваний.",5,Кровь
Комплексное,Комплексный анализ крови на ненасыщенные жирные кислоты семейства Омега-6,6390,"Определение концентрации ненасыщенных жирных кислот семейства Омега-6, используемое для оценки их баланса в организме, а также диагностики и контроля лечения ишемической болезни сердца, инсульта и некоторых онкологических заболеваний.",5,Кровь с EDTA
Комплексное,Липидный обмен,990,"Липиды представляют собой жироподобные вещества и жиры, избыток которых приводит к болезням сердца, повышает риск атеросклероза. К липидам относятся триглицериды и холестерин. В комплекс включены исследования на: Триглицериды; холестерин общий; ХС ЛПВП; ХС ЛПНП; Индекс атерогенности",1,Сыворотка
Комплексное,Мужской гормональный скрининг,3790,"Исследование гормонов у мужчин поможет выявить нарушения гормонального обмена на ранних стадиях, что существенно облегчит последующее лечение, избавит от развития целого ряда заболеваний. Состав гормонального скрининга: Тестостерон; Свободный тестостерон; Глобулин, связывающий половые гормоны (ГСПГ); Пролактин; ЛГ (лютеинезирующий гормон); ФСГ (фолликулостимулирующий гормон).",1,Сыворотка
Комплексное,Перед операцией (госпитализация в стационары хирургического профиля),2890,"Комплексное исследование, включающее в себя ряд анализов, результаты которых необходимы при госпитализации в стационар хирургического профиля. В комплекс входят: клинический анализ крови + Лейкоцитарная формула + СОЭ; Группа крови + Резус-фактор (Rh); Общий анализ мочи + Коагулограмма: АЧТВ; Протромбиновое время + МНО; Тромбиновое время; Фибриноген; Антитромбин III; Плазминоген + АЛТ (аланинаминотрансфераза); АСТ (аспартатаминотрансфераза); ГГТ (гамма-глутамилтрансфераза); Щелочная фосфатаза (ЩФ); Билирубин общий; Холестерин общий (ХС); Креатинин; Мочевина; Общий белок; Глюкоза + Госпитальный комплекс - скрининг(ВИЧ 1-2 АГ / АТ (скрининг) (ИФА); АТ к Treponema pallidum (скрининг) (ИФА); HbsAg (скрининг) (ИФА); Anti-HCV (скрининг) (ИФА)).",3,"Кровь, Разовая порция мочи"
Комплексное,Подготовка к хирургическим операциям и установке имплантов (стоматология),3490,"Предлагаемый комплекс объединяет группу исследований, которые, как правило, необходимо провести при подготовке к запланированному хирургическому вмешательству в стоматологии. В комплекс входит: Протромбиновое время + МНО; АЧТВ; Фибриноген + АЛТ (аланинаминотрансфераза); АСТ (аспартатаминотрансфераза); Щелочная фосфатаза (ЩФ); Билирубин общий; Глюкоза; Кальций ионизированный + Госпитальный комплекс; ВИЧ 1-2 АГ / АТ (скрининг) (ИФА); АТ к Treponema pallidum (скрининг) (ИФА); HbsAg (скрининг) (ИФА); Anti-HCV (скрининг) (ИФА).) +  клинический анализ крови + Лейкоцитарная формула + СОЭ.",1,"Сыворотка, Кровь"
Комплексное,Поджелудочная железа: биохимический скрининг,1190,Исследование функции поджелудочной железы позволяет выявить основные функциональные нарушения в работе этого органа. (Альфа-амилаза; Амилаза панкреатическая; Липаза; Холестерин общий).,1,Сыворотка
Комплексное,Почечные маркеры: скрининг,890,"Биохимическое исследование креатинина и мочевины, характеризующих состояние почек (почечные пробы), особо важно для людей, страдающих почечными заболеваниями: хроническим пиелонефритом, хроническим гломерулонефритом, хронической почечной недостаточностью, амилоидозом и кистами почек. (Креатинин; Мочевина; Общий анализ мочи).",1,Сыворотка
Комплексное,Проверка здоровья сердца,3490,"В данный комплекс собраны исследования, с помощью которых можно проанализировать состояние миокарда, риск развития инфаркта, а также провести мониторинг эффективности принимаемого курса терапии. ( клинический анализ крови + Лейкоцитарная формула + СОЭ; Протеинограмма: общий белок; белковые фракции; АЛТ (аланинаминотрансфераза); АСТ (аспартатаминотрансфераза); Креатинкиназа - МВ (КК-МВ, Креатинфосфокиназа - миокардиальная фракция); Лактатдегидрогеназа (ЛДГ); Миоглобин; С-реактивный белок (ультрачувствительный); Калий; Натрий; Хлор).",1,Сыворотка
Комплексное,Риск развития аутоимунных заболеваний,5790,"Аутоиммунные заболевания полиэтиологичны и многофакторны, понимание механизмов их развития является одной из наиболее сложных и трудных задач. Комплексное исследование аутоиммунных антител поможет определить специфику развития заболевания, разобраться в ее этиологии, выработать направление и тактику лечения. (АТ к ядерным антигенам (ANA)(кач.), АТ к 2-спиральной ДНК (кач.), АТ к одноцепочечной ДНК, АТ к циклическому церуллинсодержащему пептиду (АЦЦП)).",7,Сыворотка
Комплексное,Риск развития диабета,1190,"При помощи данного исследования можно оценить нормальный уровень сахара в крови, здоровый обмен глюкозы; нарушение толерантности к глюкозе - состояние преддиабета, и, наконец, диагностировать диабет 1 или 2 типа. (Глюкоза; Гликозилированный гемоглобин; Инсулин; С-пептид).",1,Сыворотка
Комплексное,Синдром хронической усталости,7890,"Комплексное исследование для диагностики Синдрома утомляемости после перенесённой вирусной болезни. 
Включает в себя: Антитела к ядерному антигену вируса Эпштейна-Барр, IgG; антитела к раннему антигену вируса Эпштейна-Барр, IgG; антитела к капсидному антигену вируса Эпштейна-Барр, IgG; клинический анализ крови (общий анализ крови с лейкоцитарной формулой и СОЭ); С-реактивный белок.",2,Кровь
Биохимия,Альбумин,249,"Альбумин сыворотки – это белок, составляющий до 60 % от общего количества белков плазмы крови. Основные его функции: поддержание онкотического давления крови, участие в метаболических процессах, транспорт различных биологически активных веществ, в том числе гормонов и витаминов.",1,Сыворотка
Биохимия,Альфа-амилаза,390,"Амилаза – один из нескольких ферментов, которые вырабатываются в поджелудочной железе и входят в состав панкреатического сока. Липаза расщепляет жиры, протеаза – белки, а амилаза расщепляет углеводы. Из поджелудочной железы панкреатический сок, содержащий амилазу, через панкреатический проток попадает в двенадцатиперстную кишку, где помогает переварить пищу.",1,Сыворотка
Биохимия,Альфа1-антитрипсин,1149,"Альфа1-антитрипсин - это белок, выделяемый печенью и отвечающий за защиту легких и инактивацию некоторых ферментов в организме.",3,Сыворотка
Биохимия,Амилаза панкреатическая,490,"Амилаза – пищеварительный фермент, который способен расщеплять углеводы. Амилаза панкреатическая – одна из разновидностей амилазы, которая вырабатывается поджелудочной железой.",4,Сыворотка
Биохимия,Аполипопротеин B,690,"Аполипопротеин B – белок плазмы крови, который входит в состав липопротеинов низкой плотности (ЛПНП). Увеличение его концентрации говорит о повышенном риске развития сердечно-сосудистых заболеваний.",3,Сыворотка
Биохимия,Аполипопротеин А1,690,"Аполипопротеин А1 – белок плазмы крови, который входит в состав липопротеинов высокой плотности (ЛПВП) и способствует удалению холестерола из стенок сосудов.",3,Сыворотка
Биохимия,Аспартатаминотрансфераза (АСТ),290,"Аспартатаминотрансфераза (АСТ) – фермент, который находится во всех клетках организма, но, главным образом,  в клетках сердца и печени и, в меньшей степени, в почках и мышцах. В норме активность АСТ в крови очень низкая. При повреждении тканей печени или мышц она высвобождается в кровь. Таким образом, АСТ является показателем повреждений печени.",1,Сыворотка
Биохимия,Билирубин общий,249,"Билирубин общий — продукт распада гемоглобина, миоглобина и цитохромов, образуется преимущественно в результате распада гемовой части гемоглобина эритроцитов после их гибели, в меньшей степени при распаде других гемсодержащих белков.",1,Сыворотка
Биохимия,Билирубин прямой,290,"Билирубин – оранжево-желтый пигмент, обнаруживаемый в желчи и придающий ей характерный цвет. Билирубин прямой- разновидность билирубина, которая может растворяться в воде и в норме выводится из организма преимущественно вместе с желчью.",1,Сыворотка
Биохимия,Гамма-глутамилтрансфераза (ГГТ),290,"Гамма-глютаматтранспептидаза (ГГТП) относится к ферментам печени, почек и поджелудочной железы. Уровень ГГТП является показателем того, что в печени происходят нежелательные изменения.",3,Сыворотка
Биохимия,Гаптоглобин,990,"Гаптоглобин – белок острой фазы, способный связывать гемоглобин и выполняющий ряд регуляторных функций. В организме человека он представлен тремя типами: Нр 1-1, Нр 2-1, Нр 2-2. Нр 1-1 является мономером, Нр 2-1, Нр 2-2 – полимеры. Гаптоглобин был открыт в 1938 году, его название образовано от слова hapto – ""связывать"". Он синтезируется в печени и постоянно присутствует в плазме крови.",3,Сыворотка
Биохимия,Гликированный гемоглобин А1с %,790,"Специфическое соединение гемоглобина эритроцитов с глюкозой, концентрация которого отражает среднее содержание глюкозы в крови за период около трех месяцев.
Образуется гликированный гемоглобин посредством реакции неферментативного гликозилирования гемоглобина.",1,Кровь с EDTA
Биохимия,Глюкоза,249,"Органическое соединение, основная функция которого- источник энергии для организма. Углеводы расщепляются на глюкозу и другие простые сахара, которые усваиваются тонким кишечником и поступают в кровь.
Мозгу и нервным клеткам она нужна не только как источник энергии, но и как регулятор деятельности, поскольку они могут функционировать только если содержание глюкозы в крови достигает определенного уровня.",1,Кровь с фторидом натрия
Биохимия,Гомоцистеин,1890,"Гомоцистеин — серосодержащая аминокислота плазмы крови, является продуктом обмена аминокислот метионина и цистеина. Гомоцистеин обычно содержится в клетках организма в очень небольших концентрациях. Метионин является одной из одиннадцати незаменимых аминокислот, то есть таких, которые не образуются в организме и поступают в него только с пищей. Высокие уровни гомоцистеина в крови ассоциированы с риском сердечно-сосудистых заболеваний, сахарного диабета, болезни Альцгеймера и остеопороза.",1,Сыворотка
Биохимия,Железо,290,"Микроэлемент, входящий в состав гемоглобина, участвует в транспортировке и депонировании кислорода в ткани, а также в процессах тканевого дыхания. В организме железо не встречается в виде свободных катионов, только в связи с белками.",1,Сыворотка
Биохимия,Индекс HOMA,990,"Оценка инсулинорезистентности. Индекс HOMA рассчитывают по формуле: глюкоза натощак (ммоль/л) Х инсулин натощак (мкМЕ/мл) / 22,5.",1,Кровь
Биохимия,Кальций ионизированный,549,"Жизненно необходимый минерал, поступающий в организм из продуктов питания. С его участием проходит минерализация зубов, формирование костей, поддерживается работа сердечно-сосудистой системы, а также других органов и систем.
Ионизированный кальций – катион, свободно циркулирующий в крови и составляющий 46-50 % от всего кальция крови.",1,Кровь с гепарином
Биохимия,Кальций общий,290,"Кальций общий — это концентрация ионизированной (свободной) и связанной с белками формы кальция. Важнейший компонент костной ткани, выполняет основные структурные, метаболические и регуляторные функциями в организме.
Физиологически он активен только в ионизированном виде, в котором в большом количестве присутствует в плазме крови.",1,Сыворотка
Биохимия,Кислая фосфатаза,790,"Анализ активности фермента, присутствующий в предстательной железе, печени, селезенке, эритроцитах, тромбоцитах, в костном мозге, макрофагах, остеокластах и проявляющий оптимальную активность в реакциях обмена фосфорной кислоты.",3,Сыворотка
Биохимия,Креатинин,249,"Креатинин — конечный продукт метаболизма мышечного креатина, хотя незначительный вклад в его продукцию может вносить и потребление в пищу мяса. Этот показатель отражает баланс между продукцией креатинина и его экскрецией почками.",1,Сыворотка
Биохимия,Креатинкиназа,390,"Креатинкиназа – фермент, который стимулирует превращение креатина в креатинфосфат и обеспечивает энергией мышечное сокращение.",1,Сыворотка
Биохимия,Креатинкиназа-MB,1190,"Креатинкиназа-MB - это фермент, являющийся своеобразным маркером повреждения миокарда.",2,Сыворотка
Биохимия,Лактатдегидрогеназа (1 фракция),490,"Лактатдегидрогеназа (ЛДГ) – один из основных ферментов гликолиза, который катализирует окисление L-лактата в пируват. Это внутриклеточный фермент, присутствующий в клетках практически всех крупных органов. ЛДГ обнаружена в головном мозге, почках, печени, легких, лимфатических узлах, миокарде, скелетных мышцах, селезенке, а также в эритроцитах, лейкоцитах и тромбоцитах.",3,Сыворотка
Биохимия,Лактатдегидрогеназа общая (ЛДГ),290,"Гликолитический фермент, участвующий в конечных этапах превращения глюкозы и в обратимом превращении лактата в пируват.
Содержится в большинстве тканей организма (в клетках сердечной мышцы, печени, почек, легких, скелетной мускулатуры).",1,Сыворотка
Биохимия,Латентная железосвязывающая способность сыворотки,390,"Латентная железосвязывающая способность сыворотки - лабораторный показатель, отражающий потенциальную способность сыворотки крови к связыванию дополнительного количества железа.",1,Сыворотка
Биохимия,Липаза,490,"Липаза – один из ферментов пищеварительного сока, который образуется поджелудочной железой и участвует в переваривании жиров.",3,Сыворотка
Биохимия,Липопротеин (а),890,"Липопротеин (а) – это макромолекулярный комплекс, который состоит из липопротеина низкой плотности и гидрофильной молекулы - аполипопротеина (а). Его повышенная концентрация ассоциирована с увеличенным риском патологии коронарных сосудов, инфаркта миокарда, инсульта. Его уровень генетически обусловлен, поэтому он считается важным фактором риска раннего развития сердечно-сосудистых заболеваний.",7,Сыворотка
Биохимия,Миоглобин,1390,"Миоглобин – белок, который связывает кислород и поставляет его скелетным мышцам. Его концентрация в крови возрастает при повреждении скелетных мышц или миокарда.",3,Сыворотка
Биохимия,Молочная кислота,1190,"Лактат – это продукт клеточного метаболизма, производная молочной кислоты. Может находиться в клетках в виде самой молочной кислоты либо в виде ее солей.",3,Кровь с фторидом натрия
Биохимия,Мочевая кислота,349,"Конечный продукт метаболизма пуриновых оснований, входящих в состав нуклеотидов ДНК и РНК. Играет важную роль при подагре и метаболическом синдроме.",1,Сыворотка
Биохимия,Мочевина,249,Основной продукт распада белков. Выводится из организма вместе с лишним азотом.,1,Сыворотка
Биохимия,Натрийуретический пептид B,2890,"Натрийуретический пептид B – это мозговой натрийуретический гормон – белок, образующийся в левом желудочке сердца. Играет важную роль в диагностике сердечной недостаточности.",3,Сыворотка
Биохимия,Общий анализ мочи,490,"Общий (клинический) анализ мочи - исследование, позволяющее судить об общем состоянии организма и диагностировать ряд урологических, эндокринных, метаболических и других заболеваний.",1,Моча
Биохимия,Общий белок,249,"Концентрация суммарного белка (альбумины + глобулины) в жидкой части крови, характеризует обмен белков в организме.",1,Сыворотка
Биохимия,Плазминоген,690,"Плазминоген – белок плазмы крови, профермент, переходящий в определенных условиях в активную форму (плазмин), является компонентом фибринолитической системы, необходимой для предотвращения чрезмерного образования кровяных сгустков (тромбов) в процессе свертывания крови. Исследование направлено на оценку активности плазминогена и его способности выполнять свою функцию.",1,Кровь с цитратом
